epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2664.65,1.29102,1.03516,0.87533,0.39212,0.37746,0.3313,0.17249,1.52158,1.23343,0.95709,0.000742625,0.000742625,0.000742625
43,2728.1,1.282,1.02571,0.87609,0.41018,0.38643,0.34487,0.17836,1.52114,1.223,0.95392,0.00073025,0.00073025,0.00073025
44,2791.42,1.27268,1.0142,0.87328,0.37484,0.36663,0.33113,0.17533,1.5137,1.26771,0.94858,0.000717875,0.000717875,0.000717875
45,2854.97,1.29061,1.02189,0.87504,0.39886,0.39338,0.34778,0.18138,1.49543,1.2204,0.95124,0.0007055,0.0007055,0.0007055
46,2918.4,1.27142,1.0076,0.87176,0.37131,0.40872,0.3436,0.17952,1.51119,1.21202,0.95388,0.000693125,0.000693125,0.000693125
47,2981.91,1.27136,1.00236,0.87056,0.3948,0.39476,0.34426,0.18085,1.5064,1.22985,0.94823,0.00068075,0.00068075,0.00068075
48,3045.28,1.2606,0.98369,0.87197,0.41146,0.38062,0.34188,0.17669,1.506,1.22829,0.94956,0.000668375,0.000668375,0.000668375
49,3108.98,1.2541,0.99528,0.87452,0.39723,0.37472,0.34016,0.17905,1.5169,1.26149,0.95177,0.000656,0.000656,0.000656
50,3172.9,1.25708,0.98444,0.87126,0.39068,0.39369,0.34212,0.17641,1.50395,1.22539,0.94103,0.000643625,0.000643625,0.000643625
51,3236.58,1.2505,0.97828,0.87045,0.38493,0.38924,0.3448,0.18013,1.49819,1.2199,0.94643,0.00063125,0.00063125,0.00063125
52,3300.08,1.25127,0.97713,0.8713,0.4051,0.38851,0.3451,0.18039,1.49351,1.2284,0.94615,0.000618875,0.000618875,0.000618875
53,3363.66,1.2505,0.97118,0.86913,0.40628,0.3917,0.34777,0.18561,1.49581,1.20411,0.95713,0.0006065,0.0006065,0.0006065
54,3427.25,1.23221,0.97737,0.86766,0.39625,0.39732,0.3496,0.18341,1.50293,1.20538,0.94446,0.000594125,0.000594125,0.000594125
55,3490.68,1.23193,0.95516,0.8695,0.39618,0.39708,0.34921,0.18023,1.50058,1.21439,0.94178,0.00058175,0.00058175,0.00058175
56,3554.21,1.23523,0.97028,0.86717,0.38575,0.39183,0.34418,0.1833,1.4966,1.21558,0.94664,0.000569375,0.000569375,0.000569375
57,3617.62,1.23627,0.96851,0.86679,0.39496,0.39683,0.35008,0.1837,1.48148,1.20281,0.94313,0.000557,0.000557,0.000557
58,3681.19,1.22632,0.94302,0.86716,0.39702,0.40159,0.34849,0.18382,1.48831,1.21738,0.94088,0.000544625,0.000544625,0.000544625
59,3744.81,1.2088,0.94024,0.86036,0.39064,0.39879,0.34306,0.18156,1.47903,1.20156,0.93868,0.00053225,0.00053225,0.00053225
